CustomerID,CustomerName,City,Age,MembershipType
C201,Arjun Reddy,Delhi,21,Regular
C202,Meera Verma,Indore,55,Regular
C203,Arjun Kapoor,Kolkata,48,Silver
C204,Meera Sharma,Hyderabad,52,Regular
C205,Pooja Bhat,Kolkata,36,Silver
C206,Rahul Joshi,Delhi,44,Regular
C207,Nisha Kumar,Bhopal,33,Regular
C208,Siddharth Joshi,Hyderabad,37,Regular
C209,Vikram Kapoor,Chennai,59,Regular
C210,Rishabh Gupta,Bangalore,45,Platinum
C211,Kiara Das,Delhi,28,Silver
C212,Anjali Choudhary,Indore,54,Regular
C213,Amit Sharma,Indore,36,Regular
C214,Rahul Patel,Kolkata,19,Regular
C215,Arjun Sharma,Pune,58,Regular
C216,Priya Kumar,Bangalore,59,Gold
C217,Arjun Reddy,Bhopal,57,Silver
C218,Nisha Choudhary,Pune,30,Regular
C219,Pooja Nair,Mumbai,31,Regular
C220,Vikram Malhotra,Chennai,63,Regular
C221,Meera Joshi,Pune,57,Regular
C222,Nisha Das,Mumbai,39,Regular
C223,Neha Malhotra,Bangalore,56,Regular
C224,Varun Singh,Hyderabad,47,Regular
C225,Neha Bhat,Delhi,46,Gold
C226,Meera Patel,Mumbai,56,Platinum
C227,Nisha Das,Pune,25,Regular
C228,Aditya Joshi,Ahmedabad,45,Silver
C229,Sneha Malhotra,Chennai,19,Regular
C230,Nisha Singh,Kolkata,48,Silver
C231,Varun Iyer,Chennai,36,Regular
C232,Neha Gupta,Ahmedabad,56,Regular
C233,Kiara Nair,Mumbai,61,Regular
C234,Amit Verma,Hyderabad,52,Silver
C235,Meera Gupta,Mumbai,22,Silver
C236,Sneha Choudhary,Pune,35,Silver
C237,Riya Nair,Indore,54,Silver
C238,Sneha Sharma,Mumbai,65,Regular
C239,Karan Patel,Indore,29,Regular
C240,Vikram Malhotra,Hyderabad,30,Regular
C241,Aditya Iyer,Mumbai,65,Regular
C242,Tara Patel,Hyderabad,47,Platinum
C243,Pooja Patel,Ahmedabad,23,Silver
C244,Kiara Reddy,Pune,28,Regular
C245,Sneha Patel,Kolkata,53,Regular
C246,Kiara Bhat,Ahmedabad,47,Regular
C247,Varun Kumar,Chennai,38,Gold
C248,Rahul Iyer,Mumbai,46,Regular
C249,Neha Bhat,Mumbai,38,Regular
C250,Rohan Kumar,Bhopal,47,Silver
C251,Neha Kumar,Indore,44,Silver
C252,Amit Verma,Bangalore,50,Gold
C253,Rishabh Malhotra,Delhi,63,Regular
C254,Meera Iyer,Bhopal,23,Regular
C255,Neha Choudhary,Bhopal,24,Platinum
C256,Pooja Kumar,Bhopal,23,Silver
